iare_code,Indigenous Area name,income inequality,unemployment inequality,Primary-school dropout inequality,middle-school participation equality,internet access equality,social engagement equality
IARE202001,Ballarat,2.3566910824322758,2.4771607248949987,1.6131583052730472,0.8781486969406432,0.9393948026959726,0.7918427151118881
IARE202002,Baw Baw,2.017508774587784,3.868181818181818,1.6030628667594322,0.7265473887814314,0.9115583075335397,0.8509139316740266
IARE202003,Bendigo,2.460909132282046,2.5930879857490576,1.6640976389693223,0.8377864174042519,0.9560489895509241,0.8209410704405318
IARE201001,Brimbank,0.9859427134975454,1.291371968492424,1.5175635965186147,0.34801061007957557,0.9752089504386905,0.8922210762884059
IARE202004,Campaspe - Shepparton - Moira,1.9635261173599483,3.2124192513818834,1.439908323778987,0.759389472836374,0.9146755694778621,0.7825622914827288
IARE201002,Cardinia,1.138527674938041,1.954322815218803,1.3453028531759412,1.1614906832298137,0.9894267642022113,0.8710643920835002
IARE202005,Castlemaine - Kerang,1.8753157290470723,2.61038961038961,1.4199736613018592,0.769736842105263,0.9427639938556067,0.8057597574838955
IARE201003,Craigieburn - Sunbury,1.4577018812333844,1.585788336846892,1.6358454256945811,0.9843749999999999,0.9589566189030393,0.8747662273668498
IARE201004,Cranbourne - Narre Warren,1.8642375015383452,1.84722166819578,1.6678734742049826,0.8964712420116702,0.9475863506555768,0.8754547721876204
IARE201005,Frankston,1.8697454961395483,1.9071184295305592,1.570796763349693,1.0167973124300111,0.9718642958188767,0.8635498181483608
IARE202006,Geelong - Queenscliff,2.2396465882097094,2.0228799746902077,1.5704606341202312,0.9372962842242505,0.9862736571218294,0.8659724872487597
IARE202007,Gippsland,1.7089711337908196,2.9099887120287726,1.5362399102093238,0.8332046332046331,0.8453860757368225,0.8085947470873256
IARE201006,Greater Dandenong,1.5166036834216026,2.0747053068528754,1.4015116699934187,1.1182001343183343,0.8805110585901025,0.7501271080547729
IARE201007,Knox,1.7848896005393562,1.6732230919462638,1.9166246052708737,0.8094639865996649,0.9642160799752354,0.9316604118822233
IARE202008,Latrobe,1.9395705259562843,2.8273984828201693,1.6378722123467968,1.1051706827309236,0.9671248457354162,0.7318953421413333
IARE202009,Macedon Ranges - Moorabool,2.423271645899383,2.1625755166931637,1.7099800503847167,1.1133333333333333,0.9404929957257115,0.8522730292641797
IARE201008,Maribyrnong - Moonee Valley,1.797066677112508,1.8765638276861456,1.6193545525705129,0.711111111111111,0.9845863283771513,0.8924185815004065
IARE201009,Maroondah,1.5925803359783106,1.4531072208221303,1.7384615518051885,0.8422975441445099,0.9202569285511433,0.8736477561388651
IARE201010,Melbourne - East,1.478824269457311,1.4918671504325984,2.022600793545011,1.1967502649240553,0.9699826923483501,0.9088083824798566
IARE201011,Melbourne - North-East,2.365604382872638,1.562712546637699,1.8883772868939168,0.7848639587763273,0.9380501867503446,0.9394574204504328
IARE201012,Melbourne - Port Phillip,1.4533034844520945,1.4445783483637553,2.623940007498644,1.1687898089171977,0.8893776252693107,0.9361674074287165
IARE201013,Melton,1.7987880464471309,1.8850594331799053,1.619574163916217,1.2446792895934244,0.9851361854419552,0.8264865183732588
IARE202010,Mildura,2.3176895010189993,3.3815610546481323,1.6760758218933687,0.7545422781271837,0.9129208205219115,0.7212386817164803
IARE201014,Monash,1.4888864853171813,1.4299503221810805,1.8537482230325426,0.854331550802139,0.9665181456921668,0.872703963541303
IARE201015,Moreland - Broadmeadows,1.51506841876629,1.6932874379009983,1.3998213793747067,0.8737564560296717,1.0154111320180808,0.8064723942374021
IARE201016,Mornington Peninsula,1.9613329276664793,2.1194383250651643,1.5585918806522092,1.0483066295692218,0.9707870651547787,0.9052895244779786
IARE201017,Northcote - Preston - Whittlesea,1.6520819041310846,1.7550887898460092,1.7137289703271732,0.9545736754966886,0.9686250607293261,0.8684811735039866
IARE202011,South Gippsland - Bass Coast,1.7764830943976884,2.6868887126619083,1.3078832116069652,1.154398563734291,1.026164843775156,0.9041095890410958
IARE202013,Southern Grampians - Glenelg,1.8287064252946181,3.304767776407727,1.4517675619019226,0.850354609929078,0.9358231684124191,0.8568679500934497
IARE202012,South-West Central Victoria,1.5977746822817245,2.5876128313014712,1.4012008846208945,1.0066675001041798,0.9704541034818847,0.8894097927240545
IARE202014,Swan Hill,2.05128526645768,3.4017043784895677,1.4150107642418053,1.4591368227731865,0.9038792450138641,0.8653811618927899
IARE202015,Upper Goulburn Valley,1.4239323696947745,1.9377179647679512,1.4565850858767282,1.16751269035533,0.9622525954493594,0.8150212930700736
IARE202016,Wallan - Seymour,1.7150905099208817,2.453033625730994,1.3992441934670274,1.1592356687898089,0.984779411764706,0.9650581371461441
IARE202017,Warrnambool,3.360064601097834,4.2953488233221675,1.762831224670018,1.152439024390244,1.0007642966273,0.8751324442820607
IARE201018,Whitehorse,2.5814157789587555,1.4073968314402359,1.9611716693112828,1.0525727069351232,0.9611278559720755,0.8784207940219166
IARE202018,Wimmera,2.1659847692996865,3.92179863147605,1.5944362610009184,1.2921146953405018,0.9331161526192444,0.8447463768115939
IARE202019,Wodonga,2.2508806598505022,3.1939255291020503,1.587267538230347,0.890615945028562,0.9484143919201607,0.8952538007578356
IARE201019,Wyndham - Altona,1.3324053251210448,1.9163272483264884,1.5896828068915951,0.9583477658468998,0.9707507610661512,0.861981502207982
IARE201020,Yarra Ranges,1.9038409181903109,2.2735989585033796,1.5559577021838944,0.8961744092634145,0.9504299739050842,0.9098073430938597
